AE,OP,LG,Sex,c,LW,pH,IMF,PFat
1,2,5,2,237,1395,5.46,0.796,3.29
1,1,5,2,238,1720,5.45,1.061,7.72
1,2,5,2,239,1810,5.49,0.861,11.6
1,1,5,2,240,1930,5.43,99999,18.45
1,1,5,2,241,2130,5.59,99999,24.71
1,1,5,2,242,2250,5.45,99999,22.83
1,2,5,2,243,1830,5.65,1.236,11.62
1,2,5,2,244,1560,5.6,0.941,7.51
1,1,5,2,245,1905,5.56,1,9.56
1,1,5,2,246,1665,5.57,0.879,9.04
1,2,5,2,247,2305,5.67,99999,16.81
1,2,5,2,248,2280,5.52,99999,19.54
1,2,5,2,1,2020,5.56,1.2,11.3
1,2,5,2,2,1845,5.55,1.238,11.91
1,1,5,2,3,1945,5.49,1.12,15.17
1,1,5,2,4,2065,5.51,1.167,11.52
1,1,5,2,5,1735,5.47,1.146,9.19
1,2,5,2,6,1990,5.4,1.138,11.15
