AE,OP,LG,Sex,LW,pH,IMF,PFat
2,1,3,2,1615,5.55,1.119,11.41
2,2,3,2,1595,5.51,1.176,7.75
2,1,3,2,1585,5.56,1.291,9.09
2,1,3,2,1635,5.56,1.131,7.8
2,1,3,2,1490,5.47,1.205,7.95
2,1,3,2,1505,5.61,1.088,4.48
2,1,3,2,1720,5.4,1.444,10.36
2,1,3,2,1615,5.48,0.974,10.37
2,1,3,2,1470,5.56,0.996,4.88
2,1,3,2,1580,5.48,1.206,6.35
1,1,3,2,1610,5.5,1.322,10.52
1,1,3,2,1510,5.5,1.043,10.74
1,1,3,2,1715,5.45,1.09,9.36
1,1,3,2,1545,5.62,1.184,8.9
1,1,3,2,1600,5.53,1.342,7.72
1,1,3,2,1565,5.44,1.016,5.95
1,1,3,2,1530,5.36,1.189,7
1,1,3,2,1580,5.55,1.136,9.06
1,1,3,2,1610,5.55,1.11,8.58
1,1,3,2,1585,5.56,1.401,8.41
1,2,3,2,1775,5.4,1.39,8.26
1,1,3,2,1640,5.53,1.064,6.77
1,2,3,2,1620,5.57,1.015,6.71
1,2,3,2,1760,5.51,1.289,9.38
1,1,4,1,1905,5.34,1.218,10.73
1,1,4,1,1635,5.49,1.113,4.26
1,1,4,1,1795,5.49,1.598,11.06
1,1,4,1,1900,5.6,1.447,12.74
1,1,4,1,1775,5.53,0.991,5.88
1,1,4,1,2135,5.41,1.225,15.75
1,1,4,1,1820,5.42,1.241,10.72
1,1,4,1,1885,5.39,1.353,8.18
1,1,4,1,1770,5.51,1.419,9.06
1,1,4,1,2100,5.42,1.242,9.59
1,1,4,1,1990,5.54,1.353,12.37
1,1,4,1,1730,5.7,1.14,9.86
1,1,4,1,1680,5.49,1.033,10.38
1,1,4,1,1680,5.59,1.313,9.47
1,1,4,1,1705,5.52,1.072,9.86
1,1,4,1,1810,5.4,0.94,9
1,1,4,1,1740,5.69,1.205,9.83
1,1,4,1,1775,5.69,1.518,13.6
1,1,4,1,1730,5.59,1.304,9.5
1,1,4,1,1595,5.52,1.164,4.45
1,1,4,1,1980,5.6,1.66,15.84
1,1,4,1,2025,5.64,1.33,14.95
1,1,4,1,1905,5.47,1.066,22.07
1,1,4,1,1635,5.51,0.982,6.4
1,1,4,1,1885,5.47,1.011,9.37
1,1,4,1,1985,5.44,1.011,14.19
1,1,4,1,1735,5.51,1.388,12.34
1,1,4,1,1645,5.45,1.124,8.7
1,1,4,1,1690,5.54,1.362,13.22
1,1,4,1,1775,5.52,0.942,6.09
1,1,4,1,1545,5.49,0.893,5.44
1,1,4,1,1760,5.41,1.04,7.65
1,1,4,1,1720,5.63,1.018,7.24
1,1,4,1,1605,5.45,0.974,9.18
1,2,4,1,1960,5.49,0.988,8.55
1,2,4,1,1610,5.52,0.877,5.77
1,1,4,1,1645,5.46,0.922,5.21
1,1,4,1,1900,5.29,1.037,13
1,1,4,1,1700,5.65,1.484,9.79
1,1,4,1,1765,5.55,1.136,6.38
1,1,4,1,1795,5.49,1.328,11.22
1,1,4,1,1745,5.52,0.93,16.59
1,1,4,1,1725,5.51,0.94,9.4
1,1,4,2,2040,5.31,1.072,12.46
1,1,4,2,1945,5.27,1.017,17.72
1,1,4,2,1655,5.49,1.029,8.15
1,1,4,2,1945,5.42,1.176,16.77
1,1,4,2,1905,5.45,1.642,13.76
1,1,4,2,1990,5.59,1.221,14.16
1,1,4,2,1880,5.33,1.115,11.09
1,1,4,2,2055,5.47,1.306,15.4
1,1,4,2,1800,5.52,1.115,14.23
1,1,4,2,1710,5.43,1.276,10.29
1,1,4,2,1835,5.5,1.233,10.2
1,1,4,2,1870,5.44,1.331,14.54
1,1,4,2,1775,5.42,1.035,11.34
1,1,4,2,1590,5.67,1.206,8.15
1,1,4,2,1625,5.6,0.976,7.58
1,1,4,2,1615,5.56,0.858,8.37
1,1,4,2,1680,5.54,1.087,10.3
1,1,4,2,1745,5.64,1.179,13.08
1,1,4,2,1705,5.59,1.408,15.3
1,1,4,2,1610,5.52,1.039,7.84
1,1,4,2,1840,5.61,1.202,13.7
1,1,4,2,1865,5.64,1.196,10.72
1,1,4,2,1955,5.53,1.238,17.77
1,1,4,2,1725,5.3,1.013,11.31
1,1,4,2,1850,5.49,1.383,18.65
1,1,4,2,1865,5.4,1.027,14.59
1,1,4,2,1845,5.45,1.223,13.46
1,1,4,2,1870,5.49,1.561,13.13
1,1,4,2,1600,5.48,0.918,7.27
1,1,4,2,1535,5.6,0.925,5.35
1,2,4,2,2185,5.57,1.204,20.52
1,2,4,2,1795,5.55,1.137,12.7
1,1,4,2,1930,5.35,1.206,11.04
1,1,4,2,1880,5.43,0.828,8.85
1,1,4,2,1660,5.75,1.521,9.7
1,1,4,2,1800,5.55,0.971,12.41
1,1,4,2,1635,5.58,1.109,11.62
1,1,4,2,1870,5.66,1.102,21.36
1,1,4,2,2070,5.56,1.198,17.47
1,1,4,2,2045,5.6,1.201,21.4
1,1,4,2,1920,5.56,1.067,16.99
2,1,5,1,1575,99999,0.981,5.62
2,1,5,1,1550,5.38,1.005,6.32
2,1,5,1,1680,5.51,0.962,6.81
2,1,5,1,1515,5.65,0.855,2.89
2,1,5,1,1605,5.46,1.236,5.55
2,1,5,1,1755,5.55,1.103,8.1
2,1,5,1,1745,5.87,1.086,6.18
2,1,5,1,1550,5.7,1.167,6.33
2,1,5,1,1520,5.58,1.018,5.61
2,1,5,1,1690,5.73,1.077,6.21
2,1,5,1,1550,5.67,1.181,8.84
2,1,5,1,1380,5.59,1.205,5.96
2,1,5,1,1630,5.57,1.067,8.21
2,1,5,1,1565,5.54,0.982,5.83
2,1,5,1,1605,5.57,1.243,6.94
2,1,5,1,1585,5.57,1.117,10.71
2,1,5,1,1550,5.57,1.174,7.58
2,1,5,1,1475,5.48,1.181,6.87
2,1,5,1,1485,5.58,1.081,6.74
2,2,5,1,1725,5.56,1.063,7.32
2,2,5,1,1425,5.64,1.116,3.33
2,2,5,1,1535,5.66,1.022,2.51
2,1,5,1,1575,5.55,1.06,7.14
2,1,5,1,1575,5.5,1.052,5.26
2,1,5,1,1755,5.51,0.95,7.2
2,1,5,1,1940,5.6,0.926,7.06
1,2,5,1,1505,99999,0.95,4.97
1,2,5,1,1620,5.63,1.03,8.3
1,1,5,1,1595,5.52,1.059,9.17
1,1,5,1,1670,5.48,1.157,6.12
1,2,5,1,1895,5.52,1.215,8.96
1,1,5,1,2140,5.45,99999,20.13
1,1,5,1,1925,5.43,1.162,15.53
1,1,5,1,1855,5.55,1.147,14.89
1,2,5,1,1770,5.58,1.131,9.26
1,2,5,1,1665,5.61,0.976,4.12
1,2,5,1,1885,5.44,0.942,9.98
1,2,5,1,1835,5.47,1.28,9.65
1,1,5,1,1795,5.53,1.023,9.62
1,2,5,1,1925,5.38,1.003,13.81
2,1,5,2,1625,5.42,1.096,4.53
2,1,5,2,1550,5.52,1.057,6.26
2,1,5,2,1545,5.41,1.315,7.4
2,1,5,2,1445,5.47,0.979,4.33
2,1,5,2,1640,5.53,1.263,7.3
2,1,5,2,1670,5.55,0.873,8.48
2,1,5,2,1695,5.62,1.066,8.37
2,1,5,2,1515,5.63,1.109,6.94
2,1,5,2,1495,5.59,0.983,4.57
2,1,5,2,1675,5.68,1.151,5.8
2,1,5,2,1590,5.62,1.098,6.93
2,1,5,2,1660,5.71,0.985,9.16
2,1,5,2,1570,5.59,0.927,6.5
2,1,5,2,1490,5.72,0.999,7.4
2,1,5,2,1660,5.66,0.98,8.4
2,1,5,2,1525,5.68,1.063,10.76
2,1,5,2,1515,5.54,0.958,6.14
2,2,5,2,1685,5.52,1.023,7.86
2,1,5,2,1645,5.59,1.08,8.02
2,1,5,2,1855,5.44,1.191,16.65
1,2,5,2,1410,5.43,0.943,6.08
1,2,5,2,1645,5.38,0.999,9.07
1,1,5,2,1675,5.51,1.263,12.46
1,2,5,2,1420,5.53,0.965,5.97
1,2,5,2,1395,5.46,0.796,3.29
1,1,5,2,1720,5.45,1.061,7.72
1,2,5,2,1810,5.49,0.861,11.6
1,1,5,2,1930,5.43,99999,18.45
1,1,5,2,2130,5.59,99999,24.71
1,1,5,2,2250,5.45,99999,22.83
1,2,5,2,1830,5.65,1.236,11.62
1,2,5,2,1560,5.6,0.941,7.51
1,1,5,2,1905,5.56,1,9.56
1,1,5,2,1665,5.57,0.879,9.04
1,2,5,2,2305,5.67,99999,16.81
1,2,5,2,2280,5.52,99999,19.54
1,2,5,2,2020,5.56,1.2,11.3
1,2,5,2,1845,5.55,1.238,11.91
1,1,5,2,1945,5.49,1.12,15.17
1,1,5,2,2065,5.51,1.167,11.52
1,1,5,2,1735,5.47,1.146,9.19
1,2,5,2,1990,5.4,1.138,11.15
